Probeset	Gene	Type	SP4plus 1	SP4plus 2	SP8plus 1	SP8plus 2
200017_at	RPS27A	immunity	3152.2	3601.7	5211.5	2557.3
200018_at	LOC100508408 /// RPS13 /// SNORD14B	other	6065.4	6450.6	10411	4634.9
200019_s_at	FAU	immunity	5402.1	5770.8	8264.1	4541.3
200020_at	TARDBP	other	881.68	1011.1	1388.3	635.29
200021_at	CFL1	immunity	3634.2	2890.5	4392.6	1906.9
200022_at	RPL18	other	4799.4	5676.4	8408.9	4097.4
200023_s_at	EIF3F	other	2242.3	2381.7	3872.7	1787.9
200024_at	RPS5	other	3500.3	3952.2	5885.1	3034.1
200025_s_at	RPL27	other	5603.6	6142.8	9106	4382.6
200026_at	RPL34	other	4462.3	4831.8	7002.3	3641.6
200027_at	NARS	other	864.52	1064.8	1442.8	750.19
200028_s_at	STARD7	other	823.04	1190	1410.6	795.18
200029_at	RPL19	other	6274	6606.8	10135	4857.9
200030_s_at	SLC25A3	other	1958.8	2213.1	3764.7	1530.6
200031_s_at	RPS11 /// SNORD35B	other	8614.7	8653.4	12895	7017.7
200032_s_at	RPL9	other	5411.2	6539.9	9777.3	4424.3
200033_at	DDX5 /// MIR3064 /// MIR5047	other	3335	3371.4	4938.8	2016.3
200034_s_at	RPL6	other	3559.2	3556.4	5561.3	2702.2
200035_at	CTDNEP1	other	536.64	532.71	945.29	369.14
200036_s_at	RPL10A	other	4568.8	4868.4	6558.6	3969.2
200037_s_at	CBX3	other	972.38	1278.9	1748.4	705.95
200038_s_at	C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C	other	5609.9	6696.4	9277.1	4692.9
200039_s_at	PSMB2	other	557.66	688.9	1054.9	419.41
200040_at	KHDRBS1	other	1491.2	1600.8	2368.8	898.57
200041_s_at	ATP6V1G2-DDX39B /// DDX39B /// SNORD84	other	2164.2	2597	3601.1	1546
200042_at	RTCB	other	580.24	570.46	787.27	394.41
200043_at	ERH	other	1021.8	959.67	1643.7	560.12
200044_at	GATC /// SRSF9	other	897.49	1108	1708.5	806.12
200045_at	ABCF1	other	768.49	794.03	1130.3	493.6
200046_at	DAD1	other	1745.2	2169.3	2303.9	1151.1
200047_s_at	YY1	other	849.42	996.19	1244.6	578.22
200048_s_at	JTB	other	1558.7	1405.2	2302.1	979.02
200049_at	KAT7	other	500.89	520.77	639.11	309.14
200050_at	ZNF146	other	476.55	431.11	724.48	281.94
200051_at	SART1	other	353.45	361.87	490.29	262.12
200052_s_at	ILF2	immunity	860.82	913.02	1104.9	580.73
200053_at	SPAG7	other	767.16	774.29	1106.7	541.35
200054_at	ZPR1	other	348.88	359.21	445.19	244.17
200055_at	TAF10	other	1092.9	1392.5	1849.3	949.97
