Probeset	Gene	Type	SP4plus 1	SP4plus 2	SP8plus 1	SP8plus 2
205205_at	RELB	immunity	231.36	209.58	287.29	139.3
205206_at	KAL1	other	167.28	137.47	172.69	94.797
205207_at	IL6	immunity	152.66	134.94	178.9	101.19
205208_at	ALDH1L1	other	207.37	197.38	249.03	140.7
205209_at	ACVR1B	other	245.24	261.73	288	164.89
205210_at	TGFBRAP1	other	231.63	221.94	268.1	144.12
205211_s_at	RIN1	other	180.88	176.06	234.91	131.37
205212_s_at	ACAP1	other	386.63	544.51	808.42	424.54
205213_at	ACAP1	other	661.77	903.82	1521.9	721.36
205214_at	STK17B	other	581.8	696.66	967.21	430.22
205215_at	RNF2	other	145.66	140.39	179.18	98.246
205216_s_at	APOH	other	152.69	136.88	175.13	100.33
205217_at	TIMM8A	other	182.87	159.93	222.4	116.6
205218_at	POLR3F	immunity	183.78	165.27	226.73	117.66
205219_s_at	GALK2	other	196.62	186.89	236.84	127.01
205220_at	HCAR3	other	204.72	184.22	179.18	96.879
205221_at	HGD	other	166.81	133.32	194.62	99.974
205222_at	EHHADH	other	120.88	97.453	136.35	76.835
205223_at	DEPDC5	other	252.21	251.81	373.77	180.39
205224_at	SURF2	other	242.72	262.82	320.59	193.52
205225_at	ESR1	other	163	164.45	182.78	99.815
205226_at	PDGFRL	immunity	138.05	116.52	157.66	93.779
205227_at	IL1RAP	immunity	227.64	197.87	251.83	129.08
205228_at	RBMS2	other	181.64	155.99	233.17	110.94
205229_s_at	COCH	other	158.55	127.36	176.52	92.074
205230_at	RPH3A	other	188.11	152.57	209.83	112.1
205231_s_at	EPM2A	other	200.15	172.32	258.86	134.56
205232_s_at	PAFAH2	other	304.81	211.57	373.12	161.65
205233_s_at	PAFAH2	other	197.48	153.47	260.86	121.97
205234_at	SLC16A4	other	118.53	96.588	133.04	81.463
205235_s_at	KIF20B	other	191.01	170.72	230.54	120.02
205236_x_at	SOD3	other	238.43	204.05	255.36	140.46
205237_at	FCN1	immunity	153.18	128.66	173.9	96.215
205238_at	TRMT2B	other	345.14	209.37	503.57	127.91
205239_at	AREG	other	140.53	113.36	151.94	80.571
205240_at	GPSM2	other	218.23	180.73	256.91	122.51
205241_at	SCO2	other	219.4	235.45	333.3	179.17
205242_at	CXCL13	immunity	160.32	118.47	181.5	85.517
205243_at	SLC13A3	other	216.19	190.9	244.26	128.71
205244_s_at	SLC13A3	other	182.97	166.86	215	121.9
205245_at	PARD6A	other	272.16	263.78	348.66	169.42
205246_at	PEX13	other	287.59	229.51	313.28	153.9
205247_at	NOTCH4	other	194.16	183.45	237.64	133.56
205248_at	DOPEY2	other	171.89	147.68	200.56	108.84
205249_at	EGR2	other	355.32	396.53	476.71	193.02
205250_s_at	CEP290	other	185.59	186.85	237.15	121.07
205251_at	PER2	other	264.51	265.09	342.34	154.7
205252_at	ZNF174	other	215.7	210.42	267.47	134.34
205253_at	PBX1	immunity	194.29	146.05	222.86	116.36
205254_x_at	TCF7	immunity	833.5	649.85	1162.2	342.98
205255_x_at	TCF7	immunity	3303	3195.9	4442.9	1772.9
205256_at	ZBTB39	other	234.75	231.12	333.99	164.93
205257_s_at	AMPH	other	310.82	298.74	218.58	106.59
205258_at	INHBB	other	149.1	124.68	173.89	95.633
205259_at	NR3C2	other	155.49	135.5	197.09	111.08
205260_s_at	ACYP1	other	234.8	209.23	288.79	144.77
205261_at	PGC	other	208.39	180.33	254.1	122.02
205262_at	KCNH2	other	169.78	152.54	204.77	113.22
205263_at	BCL10	immunity	273.8	280.81	380.95	190.19
205264_at	CD3EAP	other	208.49	188.4	281.71	134.28
205265_s_at	LOC100996693 /// SPEG	immunity	248.43	199.22	324.79	145.67
205266_at	LIF	immunity	201.61	179.9	233.63	124.54
205267_at	LOC101928620 /// POU2AF1	immunity	164.9	141.73	206.14	97.466
205268_s_at	ADD2	other	172.31	161.84	215.27	118.82
205269_at	LCP2	immunity	846.2	900.72	1504.7	641
205270_s_at	LCP2	immunity	1655.1	1696.7	3370.5	1331.5
205271_s_at	CDK20	other	247.12	205.82	278.96	141.86
205272_s_at	PRH1 /// PRH1-PRR4 /// PRH2	other	186.95	158.41	219.06	116.62
205273_s_at	PITRM1	other	441.27	470.61	723.27	316.11
205274_at	GTPBP1	immunity	207.26	195.17	244.11	121.03
205275_at	GTPBP1	immunity	163.68	149.89	208.44	114.99
205276_s_at	GTPBP1	immunity	211.8	187.15	272.28	134.12
205277_at	PRDM2	other	274.64	242.35	381.77	178.25
205278_at	GAD1	other	132.63	106.72	141.89	78.719
205279_s_at	GLRB	other	146.5	118.67	161.08	88.437
205280_at	GLRB	other	107.45	88.666	118.42	71.266
205281_s_at	PIGA	other	177.27	172.88	241.3	115.16
205282_at	LRP8	other	212.87	168.55	240.3	124.43
205283_at	FKTN	other	180.41	148.63	218.46	104.99
205284_at	URB2	other	219.53	218.73	337.96	156.12
205285_s_at	FYB	immunity	830.14	601.04	972.58	338.06
205286_at	TFAP2C	other	172.49	148.92	199.05	107.48
205287_s_at	TFAP2C	other	159.32	139.52	180.91	98.176
205288_at	CDC14A	other	126.39	116.44	142.92	81.141
205289_at	BMP2	other	207.86	157.72	219.08	124.28
205290_s_at	BMP2	other	141.52	126.52	169.33	96.004
205291_at	IL2RB	other	1727.8	1527.1	2758.6	1070.4
205292_s_at	HNRNPA2B1	other	1796.7	1425.8	2248.1	871.46
205293_x_at	BAIAP2	immunity	186.7	167.18	235.42	115.77
205294_at	BAIAP2	immunity	238.74	199.14	294.02	144.63
205295_at	CKMT2	other	195.3	165.65	220.47	131.86
205296_at	RBL1	other	132.57	136.74	144.22	84.625
205297_s_at	CD79B	immunity	247.71	258.9	276.16	155.56
205298_s_at	BTN2A2	immunity	302.49	267.97	422.8	195.84
205299_s_at	BTN2A2	immunity	164.31	129.09	187.89	100.66
205300_s_at	SNRNP35	other	305.89	245.44	418.66	168.59
205301_s_at	OGG1	other	200.05	190.74	237.65	132.47
205302_at	IGFBP1	other	137.45	105.14	144.48	81.132
205303_at	KCNJ8	other	170.04	139	194.58	100.09
205304_s_at	KCNJ8	other	155.33	128.97	173.56	96.549
205305_at	FGL1	other	207.74	173.99	253.29	125.78
205306_x_at	KMO	other	169.32	131.07	180.99	99.982
205307_s_at	KMO	other	179.06	157	209.06	114.27
205308_at	ZC2HC1A	other	212.12	189.53	218.76	129.28
205309_at	SMPDL3B	other	130.39	119.76	152.1	90.786
205310_at	FBXO46	other	408.94	405.22	555.31	242.15
205311_at	DDC	other	168.88	140.8	196.07	99.662
205312_at	SPI1	other	157.03	135.65	177.96	96.685
205313_at	HNF1B	other	403.6	367.63	454.38	236.62
205314_x_at	SNTB2	other	147.98	133.13	160.79	102.42
205315_s_at	SNTB2	other	286.6	221.36	435.24	159.13
205316_at	SLC15A2	other	162.08	141.99	181.82	99.15
205317_s_at	SLC15A2	other	181.84	160.88	195.76	108.93
205318_at	KIF5A	other	220.29	180.01	235.75	120.74
205319_at	PSCA	other	156.85	121.64	167.02	98.24
205320_at	APC2	other	196.34	175.9	234.91	125.9
205321_at	EIF2S3	other	684.96	400.09	816.81	234.72
205322_s_at	MTF1	other	305.85	232.34	392	158.92
205323_s_at	MTF1	other	275.97	235.81	393.03	158.41
205324_s_at	FTSJ1	other	382.79	462.8	608.93	313.01
205325_at	PHYHIP	other	169.44	148.18	191.9	106.49
205326_at	RAMP3	other	219.03	181.87	249.79	125.01
205327_s_at	ACVR2A	other	270.61	246.71	290.29	147.25
205328_at	CLDN10	other	190.58	168	228.84	112.17
205329_s_at	SNX4	other	242.97	217.35	315.07	149.94
205330_at	MN1	other	148.65	119.83	174.86	93.076
205331_s_at	REEP2	other	271.22	254.04	343.24	174.29
205332_at	RCE1	other	211.13	180.2	258.87	139.24
205333_s_at	RCE1	other	292.8	289.95	358.5	200.84
205334_at	S100A1	other	174.23	156.31	196.23	112.47
205335_s_at	SRP19	other	577.62	816.37	989.91	519.17
205336_at	PVALB	other	160.48	133.32	170.77	93.872
205337_at	DCT	other	124.03	104.98	135.07	78.243
205338_s_at	DCT	other	189.72	157.26	219.33	114.43
205339_at	STIL	other	184.33	148.24	197.36	103.93
205340_at	ZBTB24	other	317.08	370	498.03	247.4
205341_at	EHD2	other	192.03	173.63	240.44	122.9
205342_s_at	SULT1C2	other	153.82	121.47	169.19	85.333
205343_at	SULT1C2	other	136.2	108.65	157.13	87.795
205344_at	CSPG5	other	188.79	167.59	203.86	114.31
205345_at	BARD1	other	353.51	395.57	470.36	227.91
205346_at	ST3GAL2	other	204.74	155.52	243.64	111.41
205347_s_at	TMSB15A /// TMSB15B	other	204.92	176.24	250.53	126.17
205348_s_at	DYNC1I1	other	192.1	166.71	235.51	117.35
205349_at	GNA15	other	204.45	168.58	212.46	107.15
205350_at	CRABP1	other	157.18	130.97	185.06	94.735
205351_at	GGCX	other	202.28	163.47	233.62	111.78
205352_at	SERPINI1	other	168.21	156.76	220.98	111.7
205353_s_at	PEBP1	other	366.4	549.17	830.62	359.15
205354_at	GAMT	other	227.65	213.18	305.1	156.31
205355_at	ACADSB	other	143.57	114.84	157.69	93.117
205356_at	USP13	other	234.83	217.25	398	153.84
205357_s_at	AGTR1	other	150.89	125.83	182.24	93.09
205358_at	GRIA2	other	131.17	104.31	139.46	76.012
205359_at	AKAP6	other	173.04	145.12	195.75	98.541
205360_at	PFDN4	other	189.96	150.21	211.49	105.27
205361_s_at	PFDN4	other	273.18	366.74	432.94	226.52
205362_s_at	PFDN4	other	169.99	160.6	207.36	123.54
205363_at	BBOX1	other	129.62	100.43	139.9	80.332
205364_at	ACOX2	other	165.88	136.19	176.13	95.668
205365_at	HOXB6	other	149.26	134.56	169.5	102.92
205366_s_at	HOXB6	other	151.33	113.67	149.91	83.352
205367_at	SH2B2	immunity	286.12	246.88	330.2	172.23
205368_at	FAM131B	other	167.42	142.48	206.98	104.66
205369_x_at	DBT	other	240.11	174.2	262.17	125.94
205370_x_at	DBT	other	808.59	727.17	975.38	448.93
205371_s_at	DBT	other	142.63	103.8	161.67	80.605
205372_at	PLAG1	other	195.78	193.06	280.39	150.58
205373_at	CTNNA2	other	144.07	130.59	165.18	90.017
205374_at	SLN	other	218.91	177.02	236.98	117.73
205375_at	MDFI	other	210.48	161.65	222.53	120.63
205376_at	INPP4B	other	194.06	208.49	207.64	105.18
205377_s_at	ACHE	other	186.7	153.28	220.38	111.07
205378_s_at	ACHE	other	128	111.08	150.67	85.652
205379_at	CBR3	other	176.8	173.16	209.77	123.63
205380_at	PDZK1	other	122.02	99.762	131.9	78.273
205381_at	LRRC17	other	146.91	121.59	168.61	94.568
205382_s_at	CFD	immunity	159.58	134.3	177.84	98.992
205383_s_at	ZBTB20	other	431.41	377.14	616.86	218.99
205384_at	FXYD1	other	181.74	155.43	213.28	112.22
205385_at	MDM2	immunity	169	154.3	195.35	107.52
205386_s_at	MDM2	immunity	120.77	97.463	132.08	75.117
205387_s_at	CGB /// CGB1 /// CGB5 /// CGB7 /// CGB8	other	162.78	144.09	197.61	113.39
205388_at	TNNC2	other	165.47	124.85	182.31	100.71
205389_s_at	ANK1	other	160.12	132.67	175.37	98.672
205390_s_at	ANK1	other	193.07	165.22	220.52	121.62
205391_x_at	ANK1	other	220.01	161.16	244.52	118.47
205392_s_at	CCL14 /// CCL15-CCL14	immunity	207.79	182.36	226.3	130.62
205393_s_at	CHEK1	other	131.02	112.22	140.08	86.709
205394_at	CHEK1	other	142.19	115.26	146.33	89.998
205395_s_at	MRE11A	immunity	185.56	196.07	252.49	135.02
205396_at	SMAD3	immunity	242.52	187.94	253.28	117
205397_x_at	SMAD3	immunity	330.67	276.7	298.14	151.49
205398_s_at	SMAD3	immunity	517.97	497.02	429.68	212.54
205399_at	DCLK1	other	152.38	116.1	157.63	89.281
205400_at	WAS	immunity	238.79	226.69	313.03	165.71
205401_at	AGPS	other	254.7	228.24	304.88	144.06
205402_x_at	PRSS2	immunity	224.07	194.37	249.48	140.71
205403_at	IL1R2	immunity	148.99	125.33	163.57	89.597
205404_at	HSD11B1	other	161.13	138.68	183.94	100.33
205405_at	SEMA5A	other	192.24	164.05	220.42	111.3
205406_s_at	SPA17	other	157.11	136.23	182.28	99.073
205407_at	RECK	other	226.64	214.66	270.18	126.29
205408_at	MLLT10	other	291.35	236.06	379.62	146.98
205409_at	FOSL2	other	175.74	146.13	201.34	107.73
205410_s_at	ATP2B4	other	224.94	157.47	237.81	107.42
205411_at	STK4	other	242.95	162.6	244.68	117.22
205412_at	ACAT1	other	297.1	311.67	363.1	174.27
205413_at	MPPED2	other	159.34	162.83	145.05	84.576
205414_s_at	ARHGAP44	other	135.2	115.21	153.68	88.092
205415_s_at	ATXN3	other	165.87	158.38	223.81	122.01
205416_s_at	ATXN3	other	185.75	160.2	244.69	112.16
205417_s_at	DAG1	other	313.12	301.51	428.29	198.73
205418_at	FES	immunity	163.43	129.43	185.74	103.21
205419_at	GPR183	immunity	318.79	343.71	179.18	91.608
205420_at	PEX7	other	148.66	129.78	161.29	84.261
205421_at	SLC22A3	other	100.68	80.372	108.86	68.179
205422_s_at	ITGBL1	other	130.45	109.63	141.55	78.61
205423_at	AP1B1	other	417.5	356.07	482.95	229.08
205424_at	TBKBP1	immunity	225.72	209.47	328.07	166.85
205425_at	HIP1	other	133.42	105.98	155.05	88.11
205426_s_at	HIP1	other	173.35	133.37	200.02	100.33
205427_at	ZNF354A	other	247.82	245.43	315.87	166.44
205428_s_at	CALB2	other	253.74	221	298.3	157.38
205429_s_at	MPP6	other	170.8	153.78	175.32	100.52
205430_at	BMP5	other	121.44	96.198	133.72	74.315
205431_s_at	BMP5	other	159.05	130.48	186.85	95.002
205432_at	OVGP1	other	290.08	254.52	365.72	164.07
205433_at	BCHE	other	129.51	99.21	132.98	79.122
205434_s_at	AAK1	other	575.55	405.96	962.93	260.39
205435_s_at	AAK1	other	212.72	177.18	259.69	126.71
205436_s_at	H2AFX	other	291.23	345.55	451.78	224.23
205437_at	ZNF211	other	395	419.39	611.54	277.1
205438_at	PTPN21	other	178.44	144.54	204.16	105.58
205439_at	GSTT2	other	165.4	133.42	182.77	93.374
205440_s_at	NPY1R	other	120.52	97.263	132.86	74.54
205441_at	OCEL1	other	265.69	243.88	378.33	197.34
205442_at	LOC101928198 /// MFAP3L	immunity	115.88	92.736	128.72	70.198
205443_at	SNAPC1	other	176.94	194.56	207.24	124.14
205444_at	ATP2A1	other	174.13	146.42	195.9	109.8
205445_at	PRL	other	332.07	324.84	1940.8	1222.5
205446_s_at	ATF2	immunity	292.14	220.68	298.88	133.91
205447_s_at	MAP3K12	other	327.45	283.22	443.39	191.08
205448_s_at	MAP3K12	other	294.27	290.36	406.43	187.48
205449_at	SAC3D1	immunity	230.1	250.99	388.26	170.03
205450_at	PHKA1	other	206.67	167.29	257.2	118.92
205451_at	FOXO4	immunity	187.92	177.06	236.02	123.85
205452_at	PIGB	other	243.57	265	352.23	174.23
205453_at	HOXB2	other	607.49	575.03	825.53	340.92
205454_at	HPCA	other	176.65	165.75	213.95	120.6
205455_at	MST1R	immunity	185.92	160.1	215.46	113.07
205456_at	CD3E	immunity	2068.2	2039.8	3058.2	1383.7
205457_at	C6orf106	other	230.88	180.77	281.39	130.4
205458_at	MC1R	other	219.09	211.75	270.86	148.01
205459_s_at	NPAS2	other	189.88	156.4	201.97	105.65
205460_at	NPAS2	other	162.41	129.89	177.66	95.658
205461_at	RAB35	other	173.06	126.35	190.24	90.809
205462_s_at	HPCAL1	other	385.22	334.32	491.23	197.47
205463_s_at	PDGFA	immunity	210.56	169.5	220.46	102.17
205464_at	SCNN1B	other	154.39	130.91	175.25	103.22
205465_x_at	HS3ST1	other	172.26	156.09	205.79	109.59
205466_s_at	HS3ST1	other	119	95.989	123.94	75.537
205467_at	CASP10	immunity	304.52	316.9	392.02	206.69
205468_s_at	IRF5	immunity	200.61	159.3	205.13	107.58
205469_s_at	IRF5	immunity	260.25	225.51	298.08	161.19
205470_s_at	KLK11	other	194.88	169.07	234.5	120.92
205471_s_at	DACH1	other	301.1	386.49	221.34	130.31
205472_s_at	DACH1	other	180.09	167.66	149.1	89.122
205473_at	ATP6V1B1	other	164.36	134.27	183.45	100.56
205474_at	CRLF3	other	1766.5	1932.4	2373.8	1274.2
205475_at	SCRG1	other	189.14	145.46	201.57	109.67
205476_at	CCL20	immunity	260.82	258.49	205.01	110.84
205477_s_at	AMBP	immunity	164.12	139.9	184.75	106.89
205478_at	PPP1R1A	other	153.15	124.95	168.36	93.183
205479_s_at	PLAU	other	181.28	147.8	198.2	111.58
205480_s_at	UGP2	other	1088.2	1376.8	1857.4	775.47
205481_at	ADORA1	other	180.65	153.86	215.44	114.53
205482_x_at	SNX15	other	276.68	235.63	370.05	169.15
205483_s_at	ISG15	immunity	1795.7	2015.5	2688.9	1394.9
205484_at	SIT1	immunity	934.39	846.84	1031.4	455.98
205485_at	RYR1	immunity	161.59	136.64	176.65	92.667
205486_at	TESK2	other	275.47	235.7	388.32	168.16
205487_s_at	VGLL1	other	164.52	130.13	181.05	93.85
205488_at	GZMA	immunity	291.95	315.96	827.75	197.37
205489_at	CRYM	other	219.55	195.8	261.02	132.06
205490_x_at	GJB3	other	209.52	177.08	239.23	131.51
205491_s_at	GJB3	other	168.6	137.57	183.82	96.816
205492_s_at	DPYSL4	other	183.88	149.32	212.57	111.23
205493_s_at	DPYSL4	other	147.57	122.21	165.62	92.713
205494_at	ZNF821	other	320.92	307.53	328.52	163.82
205495_s_at	GNLY	other	160.57	144.27	451.66	122
205496_at	KIAA0408	other	122.7	103.95	125.02	81.12
205497_at	ZNF175	other	262.86	258.22	378.88	173.47
205498_at	GHR	other	114.14	90.085	118.89	69.326
205499_at	SRPX2	other	142.33	110.05	141.85	82.008
205500_at	C5	immunity	155.59	126.06	177.4	90.256
205501_at	PDE10A	other	123.6	96.687	125.39	74.384
205502_at	CYP17A1	other	230.87	172.47	239.46	128.79
205503_at	PTPN14	other	143.23	107.31	155.6	81.026
205504_at	BTK	immunity	203.26	185.13	229.35	134.18
205505_at	GCNT1	other	180.72	152.83	221.12	107.16
205506_at	VIL1	other	160.36	125.28	179.45	96.583
205507_at	ARHGEF15	other	209.67	162.93	225.89	116.98
205508_at	SCN1B	immunity	189.96	164.95	228.51	126.81
205509_at	CPB1	other	170.12	141.84	184	104.55
205510_s_at	FLJ10038	other	311.12	281.19	391.18	211.96
205511_at	FLJ10038	other	134.14	119.55	173.24	91.428
205512_s_at	AIFM1	other	394.75	415.49	545.97	258.08
205513_at	TCN1	other	185.7	151.57	204.81	107.48
205514_at	ZNF415	other	156.34	163.46	180.19	112.7
205515_at	PRSS12	other	170.01	137.46	184.58	99.202
205516_x_at	CIZ1	other	513.36	458.81	780.49	326.92
205517_at	GATA4	other	179.86	150.38	211.56	109.85
205518_s_at	CMAHP	other	226.52	203.67	309.21	137
205519_at	WDR76	other	159.97	144.74	178.6	101.13
205520_at	STRN	other	188.56	145.6	208.72	102.84
205521_at	EXOG	other	253.87	208.48	349.14	143.92
205522_at	---	other	168.35	154.21	199.69	104.87
205523_at	HAPLN1	immunity	116.64	96.639	117.82	76.028
205524_s_at	HAPLN1	immunity	198.02	156.63	208.54	109.81
205525_at	CALD1	other	139.41	109	149.6	83.224
205526_s_at	KATNA1	other	374.2	341.46	471.49	216.65
205527_s_at	GEMIN4	other	276.77	306.46	378.35	234.99
205528_s_at	RUNX1T1	other	125.12	95.526	135.42	72.997
205529_s_at	RUNX1T1	other	128.33	110.9	138.59	84.491
205530_at	ETFDH	other	169.34	162.2	191.57	108.93
205531_s_at	GLS2	other	183.89	162.32	203.26	112.58
205532_s_at	CDH6	other	128.28	97.991	126.98	73.448
205533_s_at	CDH6	other	127.57	100.24	138.61	76.998
205534_at	PCDH7	other	140.7	113.83	151.9	88.151
205535_s_at	PCDH7	other	122.75	96.903	130.43	79.927
205536_at	VAV2	immunity	271.61	217.3	299.34	144.89
205537_s_at	VAV2	immunity	176.93	153.03	206.81	105.28
205538_at	CORO2A	other	200.84	151.56	279.88	118.01
205539_at	AVIL	other	199.9	162.51	234.4	112.34
205540_s_at	RRAGB	other	174.05	166.79	214.18	112.6
205541_s_at	GSPT2	other	487.02	565.94	597.32	278.81
205542_at	STEAP1	other	137.35	110.64	145.17	81.004
205543_at	HSPA4L	other	140.43	116.7	154.32	90.491
205544_s_at	CR2	immunity	203.7	184.33	452.81	213.83
205545_x_at	DNAJC8	other	731.25	893.89	1127.1	556.62
205546_s_at	TYK2	other	624.91	703.56	1046.7	473.98
205547_s_at	TAGLN	other	161.82	137.46	183.81	91.254
205548_s_at	BTG3	other	249.64	257.62	374.81	176.18
205549_at	PCP4	other	149.87	120.35	170.1	91.045
205550_s_at	BRE	other	404.79	430.46	513.33	271.3
205551_at	SV2B	other	188.91	168.28	215.37	114.4
205552_s_at	OAS1	immunity	322.48	303.59	325.77	152.2
205553_s_at	CSRP3	other	175.44	143.92	198.07	103.81
205554_s_at	DNASE1L3	other	163.48	134.57	173.05	91.484
205555_s_at	MSX2	other	144.69	114.62	157.32	90.992
205556_at	MSX2	other	126.27	112.9	134.81	85.107
205557_at	BPI /// LOC149684	immunity	190.34	157.39	204.6	110.62
205558_at	TRAF6	immunity	284.5	266.03	371.47	166.33
205559_s_at	PCSK5	other	252.3	227.03	364.39	164.37
205560_at	PCSK5	other	185.12	160.38	256.67	109.99
205561_at	KCTD17	other	258.17	240.59	335.04	170.39
205562_at	RPP38	other	349.52	382.14	513.38	296.72
205563_at	KISS1	other	159.72	130.79	181.56	96.261
205564_at	PAGE4	other	148.17	119.97	161.12	94.04
205565_s_at	FXN	other	156.17	169.09	211.54	115.54
205566_at	ABHD2	other	275.91	207.73	318.11	139.78
205567_at	CHST1	other	217.4	180	230.96	130.16
205568_at	AQP9	immunity	208.72	189.77	240.43	131.73
205569_at	LAMP3	immunity	302.8	299.68	436.28	191.11
205570_at	PIP4K2A	other	192.34	174.5	268.3	139.5
205571_at	LIPT1	other	318.16	344.17	423.65	243.37
205572_at	ANGPT2	other	137.57	105.94	144.81	83.651
205573_s_at	SNX7	other	154.23	112.7	160.76	85.018
205574_x_at	BMP1	other	195.8	163.17	209.42	117.08
205575_at	C1QL1	other	221.34	196.53	238.68	141.11
205576_at	SERPIND1	other	150.54	122.6	165.82	92.529
205577_at	PYGM	other	196.25	154.72	219.81	113.8
205578_at	ROR2	immunity	161.62	128.13	183.8	95.782
205579_at	HRH1	other	168.85	137.29	189.55	94.351
205580_s_at	HRH1	other	177.73	153.57	211.05	115.48
205581_s_at	NOS3	other	144.62	135.05	184.08	95.549
205582_s_at	GGT5	other	192.73	166.71	222.7	115.61
205583_s_at	ALG13	other	354.83	348.98	539.86	238.03
205584_at	ALG13	other	273.36	226.23	370.71	163.89
205585_at	ETV6	immunity	204.29	185.93	233.38	121.27
205586_x_at	VGF	other	222.53	198.49	288.38	147.59
205587_at	FGFR1OP	other	174.61	144.63	190.06	105.72
205588_s_at	FGFR1OP	other	201.25	186.35	255.02	125.83
205589_at	MYL3	other	210.43	176.26	253.51	132.19
205590_at	RASGRP1	immunity	1024.6	1464.6	1448.5	662.6
205591_at	OLFM1	other	161.96	152.1	172.05	107.08
205592_at	SLC4A1	other	231.39	212.97	285.05	142.71
205593_s_at	PDE9A	other	344.82	400.43	427.3	216.11
205594_at	ZNF652	other	243.93	177.85	354.04	120.13
205595_at	DSG3	other	198.55	161.53	229.47	118.94
205596_s_at	SMURF2	other	349.08	530.95	688.37	388.48
205597_at	SLC44A4	other	161.11	143.17	185.64	104.33
205598_at	TRAIP	other	167.54	139.26	180.76	103.56
205599_at	TRAF1	other	296.36	256.59	516.01	189.09
205600_x_at	HOXB5	other	186.9	170.86	235.15	128.45
205601_s_at	HOXB5	other	214.74	198.38	247.44	143.84
205602_x_at	PSG7	other	203.75	176.32	208.33	121.74
205603_s_at	DIAPH2	other	189.2	172.64	204.58	101.07
205604_at	HOXD9	other	224.89	194.38	258.37	129.65
205605_at	HOXD9	other	156.5	139.08	192.39	104.91
205606_at	LRP6	other	308.05	263.15	336.7	173.51
205607_s_at	SCYL3	other	324.86	340.86	466.13	229.96
205608_s_at	ANGPT1	other	169.99	163.73	212.98	117.53
205609_at	ANGPT1	other	154.55	130.61	177.2	89.172
205610_at	MYOM1	immunity	171.92	158.18	218.07	110.88
205611_at	TNFSF12 /// TNFSF12-TNFSF13	immunity	262.69	247.21	306.35	158.71
205612_at	MMRN1	other	144.21	119.77	126.29	72.926
205613_at	SYT17	other	203.38	165.94	224.5	118.63
205614_x_at	MST1	other	264.91	270.77	375.65	189.12
205615_at	CPA1	other	136.7	105.46	143.27	85.016
205616_at	GALNT8 /// KCNA6	other	217.28	187.73	252.41	134.76
205617_at	PRRG2	other	195.23	162.87	219.44	116.03
205618_at	PRRG1	other	177.47	136.87	193.56	97.722
205619_s_at	MEOX1	other	148.33	124.27	190.99	102.24
205620_at	F10	other	148.92	125.08	165.22	103.26
205621_at	ALKBH1	other	469.72	475.8	650.29	306.14
205622_at	SMPD2	other	361.04	362.06	509.86	269.8
205623_at	ALDH3A1	other	161.09	138.89	181.53	101.85
205624_at	CPA3	other	188.66	143.33	196.56	100.38
205625_s_at	CALB1	other	129.76	105.99	143.98	83.982
205626_s_at	CALB1	other	133.33	101.01	139.12	78.355
205627_at	CDA	other	162.36	132.94	180.13	102.28
205628_at	PRIM2	other	158.66	148.75	176.27	109.54
205629_s_at	CRH	other	175.65	153.17	215.96	113.62
205630_at	CRH	other	155.29	128.15	173.25	95.463
205631_at	KIAA0586	other	334.66	314.97	434.64	199.43
205632_s_at	PIP5K1B	other	161.12	135.57	177.63	93.793
205633_s_at	ALAS1	other	385.43	392.07	424.58	236.79
205634_x_at	ZDHHC24	other	336.12	260.45	452.22	187.99
205635_at	KALRN	other	160.19	131.5	170.64	93.157
205636_at	SH3GL3	other	194.61	166	204.16	117.97
205637_s_at	SH3GL3	other	187.1	154.8	226.84	107.71
205638_at	BAI3	other	131.02	100.35	144.88	79.218
205639_at	AOAH	other	379.87	414.96	866.28	513.2
205640_at	ALDH3B1	other	186.06	164.4	208.67	122.42
205641_s_at	TRADD	other	470.51	464.53	605.29	305.13
205642_at	CNTRL	other	387.85	358.28	524.44	231.79
205643_s_at	PPP2R2B	other	181.47	147.75	186.92	102.63
205644_s_at	SNRPG	other	656.76	952.63	1054	544.71
205645_at	REPS2	other	172.72	144.79	183.82	106.39
205646_s_at	PAX6	other	175.5	162.73	217.43	112.7
205647_at	RAD52	other	192.65	203.66	273.36	136.79
205648_at	WNT2	other	215.88	162.52	222.72	116.48
205649_s_at	FGA	other	127.2	102.76	134.07	75.075
205650_s_at	FGA	other	181.72	166.45	211.3	110.89
205651_x_at	RAPGEF4	other	112.21	88.778	115.81	70.313
205652_s_at	TTLL1	other	218.78	216.04	268.86	143.13
205653_at	CTSG	immunity	204.89	176.98	237.32	129.72
205654_at	C4BPA	immunity	207.12	171.83	242.47	118.49
205655_at	MDM4	other	157.28	115.81	181.13	82.514
205656_at	PCDH17	other	199.25	157.17	230.45	114.45
205657_at	HAAO	other	201.09	188.26	258.59	138.77
205658_s_at	SNAPC4	other	237.57	231.5	304.34	153.61
205659_at	HDAC9	other	163.09	131.75	185.14	98.636
205660_at	OASL	immunity	270.26	242.94	373.26	182.19
205661_s_at	FLAD1	other	264.86	231.39	309.78	149.22
205662_at	B9D1	other	194.85	172.31	232.7	123.92
205663_at	PCBP3	other	231.24	224.74	287.36	138.22
205664_at	KIN	other	221.39	234.07	316.44	144.68
205665_at	TSPAN9	other	171.64	147.24	192.78	109
205666_at	FMO1	other	167.51	131.21	182.77	97.164
205667_at	WRN	other	209.29	185.02	263.8	121.53
205668_at	LY75	immunity	344.09	378.05	610.15	242.5
